type,index,label,j1,j2,j3,j4,final_j1,final_j2,final_j3,final_j4,x,y,z,reachable
corner,"[0,0,0,0]",,-3.141592653589793,-1.5,-1.5,-1.7,-3.124281916458164,-1.4517388820648194,-1.45143328710692,-1.6782959793228656,0.07449285817386922,-0.00020771847100793057,0.1875,True
corner,"[0,0,0,1]",,-3.141592653589793,-1.5,-1.5,1.97,-3.095595158152752,-1.4570275458507238,-1.456609764799941,1.9414433246175757,0.16050612014905213,-0.0005517753256303477,0.1875,True
corner,"[0,0,1,0]",,-3.141592653589793,-1.5,1.4,-1.7,-3.095223348325123,-1.4722673175507224,1.3520159459789283,-1.6583380884723737,0.11225825740932271,-0.0005562322861683847,0.1875,True
corner,"[0,0,1,1]",,-3.141592653589793,-1.5,1.4,1.97,,,,,0.10132994019501228,-1.4695761589768239e-18,0.1875,False
corner,"[0,1,0,0]",,-3.141592653589793,1.5,-1.5,-1.7,-3.1127025320595174,1.4530637861345894,-1.4757453362108208,-1.6699955027317628,0.12292301407691017,-0.0003466332347244817,0.1875,True
corner,"[0,1,0,1]",,-3.141592653589793,1.5,-1.5,1.97,-3.1059854642888576,1.451905430667102,-1.4707579194102436,1.9389265864784828,0.09556815135736751,-0.0004271959866232726,0.1875,True
corner,"[0,1,1,0]",,-3.141592653589793,1.5,1.4,-1.7,,,,,0.13562936559151736,-1.4695761589768239e-18,0.1875,False
corner,"[0,1,1,1]",,-3.141592653589793,1.5,1.4,1.97,,,,,0.11015995570005274,-1.4695761589768239e-18,0.1875,False
corner,"[1,0,0,0]",,3.141592653589793,-1.5,-1.5,-1.7,3.1036915803379426,-1.4858236828702502,-1.46361813894473,-1.6527052435674703,0.07680799460532675,0.000454703997714815,0.1875,True
corner,"[1,0,0,1]",,3.141592653589793,-1.5,-1.5,1.97,3.130744782095314,-1.4795271084993147,-1.4500194664229638,1.9382795393862762,0.15844438791340093,0.00013017190487366788,0.1875,True
corner,"[1,0,1,0]",,3.141592653589793,-1.5,1.4,-1.7,3.106304102722094,-1.474391467287205,1.3507453373284077,-1.6527605548151767,0.11250782139064719,0.00042337472750265275,0.1875,True
corner,"[1,0,1,1]",,3.141592653589793,-1.5,1.4,1.97,,,,,0.10132994019501228,1.4695761589768239e-18,0.1875,False
corner,"[1,1,0,0]",,3.141592653589793,1.5,-1.5,-1.7,3.097073344856505,1.4801387105835602,-1.4674278403399512,-1.6674758712877518,0.12761006667788263,0.0005340552505204359,0.1875,True
corner,"[1,1,0,1]",,3.141592653589793,1.5,-1.5,1.97,3.0948315962501844,1.4578214706038124,-1.48997095071245,1.9236080381833014,0.09891652217045874,0.0005609282153044691,0.1875,True
corner,"[1,1,1,0]",,3.141592653589793,1.5,1.4,-1.7,,,,,0.13562936559151736,1.4695761589768239e-18,0.1875,False
corner,"[1,1,1,1]",,3.141592653589793,1.5,1.4,1.97,,,,,0.11015995570005274,1.4695761589768239e-18,0.1875,False
workspace,,Max+X,1.57,0.0,0.0,0.0,1.528011953369714,-0.013453770126216118,-0.03204729557037353,-0.04761221690569072,0.27395125908119333,0.011989018659611366,0.1875,True
workspace,,Max-X,-1.57,0.0,0.0,0.0,-1.5728322371421382,-0.012711885757744311,0.03629482134710997,0.04976530259009451,0.2736354872903232,-0.01199997513042294,0.1875,True
workspace,,Max+Y,0.0,1.5,0.0,0.0,0.007775071891956031,1.4555770537117496,0.014207233837805684,0.030753173725679525,0.14912473915020164,9.329992267301923e-05,0.1875,True
workspace,,Max-Y,0.0,-1.5,0.0,0.0,0.028129107085987922,-1.4856068178545683,0.0022902385797351626,-0.014254944771528241,0.14916385349862202,0.0003375047726685365,0.1875,True
workspace,,Max+Stretch,0.0,0.0,1.4,1.97,,,,,0.021299708528948136,0.0,0.1875,False
workspace,,Max-Stretch,0.0,0.0,-1.5,-1.7,-0.015346782701089981,-0.03272509404923766,-1.4615634877816772,-1.683880606049206,0.015915918966527845,-0.00018415416343491492,0.1875,True
