trial,target_x,target_y,target_z,ik_j1,ik_j2,ik_j3,ik_j4,ik_error,success,planning_time,path_length
0,0.18820732882104113,-0.005039211364685071,0.1875,1.0,-0.1428571428571429,-1.0,0.0,0.25514623299772504,True,0.019888787,1.345167610348592
1,0.041549609437802296,0.005721141133363661,0.1875,-1.0,0.5714285714285714,1.0,0.0,0.3985792539016699,True,0.013032219999999999,1.2906314282685765
2,0.19511363926541717,0.005799421716413627,0.1875,-1.0,0.1428571428571428,1.0,0.0,0.2482503716879667,True,0.0052323460000000006,1.188501552605589
3,0.020028428767036435,0.009704405444855164,0.1875,-1.0,1.0,1.0,0.0,0.413127273122775,True,0.005968288,1.567742910936824
4,0.2086261148725904,-0.011419344623529946,0.1875,1.0,-0.2857142857142858,-1.0,0.0,0.23453862846310614,True,0.018765258,1.376171651669008
5,0.2538739624387488,-0.009502036773217983,0.1875,1.0,-0.1428571428571429,-1.0,0.0,0.18960568898132804,True,0.025617962,1.1816707779879103
6,0.24683828486875295,-0.0013333316214153464,0.1875,1.0,-0.1428571428571429,-1.0,0.0,0.19650069642330475,True,0.02052336,1.306795284696611
7,0.12397755556820127,-0.010475202890631701,0.1875,1.0,-0.2857142857142858,-1.0,0.0,0.3177444704715654,True,0.005749861,1.3481052025099047
8,0.2583969543927286,0.008726069178797978,0.1875,-1.0,0.1428571428571428,1.0,0.0,0.1850569998028274,True,0.006687877,1.5240832391000476
9,0.03596955347161644,0.009359449287101721,0.1875,-1.0,0.7142857142857142,1.0,0.0,0.40170344396886865,True,0.020387970999999998,1.4861851941151254
10,0.23035232557884797,0.005843621860882135,0.1875,-1.0,0.1428571428571428,1.0,0.0,0.2130168711108097,True,0.017803564,1.3549096171277981
11,0.2678896005422333,-0.0076898404218137375,0.1875,1.0,-0.1428571428571429,-1.0,0.0,0.17553493591824829,True,0.008303713,1.3214656523028523
12,0.05150866254740594,0.005836644864280755,0.1875,-1.0,0.4285714285714284,1.0,0.0,0.3892826601123162,True,0.007254638,1.597201732780918
13,0.06371391736215007,0.004532627335062682,0.1875,-1.0,0.4285714285714284,1.0,0.0,0.3780922396883641,True,0.0071815360000000005,1.3537399783237718
14,0.26714954631646004,0.007086024078081338,0.1875,-1.0,0.1428571428571428,1.0,0.0,0.17625669864198962,True,0.0073021760000000005,1.1943267388429906
15,0.24368922701206047,0.006316079424950332,0.1875,-1.0,0.1428571428571428,1.0,0.0,0.19969138818742294,True,0.0058886979999999995,1.7183002307026498
16,0.060219604575760866,-0.002979085843565883,0.1875,1.0,-0.2857142857142858,-1.0,0.0,0.3818667244245322,True,0.018370363,1.419341340629587
17,0.22432062653677173,0.009941627122111706,0.1875,-1.0,0.1428571428571428,1.0,0.0,0.21915500093858378,True,0.007677883999999999,1.2565048152122822
18,0.06603941444523864,-0.008053101910238903,0.1875,1.0,-0.4285714285714286,-1.0,0.0,0.374776831391591,True,0.0043027970000000006,1.1552915765862746
19,0.06726477460481166,0.0017582957611165396,0.1875,-1.0,0.2857142857142856,1.0,0.0,0.3751158287671562,True,0.007293833,1.2923007642418625
